file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/57/sndLHC.Genie-TGeant4_dig.root, runId: 1752483028, local_event: 53, eventId: 1, earliest veto hit time: 0.61 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/58/sndLHC.Genie-TGeant4_dig.root, runId: 1752483000, local_event: 17, eventId: 1, earliest veto hit time: 0.85 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/62/sndLHC.Genie-TGeant4_dig.root, runId: 1752483036, local_event: 10, eventId: 1, earliest veto hit time: 0.43 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/62/sndLHC.Genie-TGeant4_dig.root, runId: 1752483036, local_event: 17, eventId: 1, earliest veto hit time: 0.55 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/63/sndLHC.Genie-TGeant4_dig.root, runId: 1752483076, local_event: 1, eventId: 1, earliest veto hit time: 0.84 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/63/sndLHC.Genie-TGeant4_dig.root, runId: 1752483076, local_event: 48, eventId: 1, earliest veto hit time: 0.77 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/63/sndLHC.Genie-TGeant4_dig.root, runId: 1752483076, local_event: 49, eventId: 1, earliest veto hit time: 0.87 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/63/sndLHC.Genie-TGeant4_dig.root, runId: 1752483076, local_event: 51, eventId: 1, earliest veto hit time: 0.89 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/64/sndLHC.Genie-TGeant4_dig.root, runId: 1752483038, local_event: 21, eventId: 1, earliest veto hit time: 0.88 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/64/sndLHC.Genie-TGeant4_dig.root, runId: 1752483038, local_event: 57, eventId: 1, earliest veto hit time: 0.61 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/66/sndLHC.Genie-TGeant4_dig.root, runId: 1752482857, local_event: 33, eventId: 1, earliest veto hit time: 0.55 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/66/sndLHC.Genie-TGeant4_dig.root, runId: 1752482857, local_event: 36, eventId: 1, earliest veto hit time: 0.74 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/68/sndLHC.Genie-TGeant4_dig.root, runId: 1752483028, local_event: 10, eventId: 1, earliest veto hit time: 0.98 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/68/sndLHC.Genie-TGeant4_dig.root, runId: 1752483028, local_event: 33, eventId: 1, earliest veto hit time: 0.95 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/68/sndLHC.Genie-TGeant4_dig.root, runId: 1752483028, local_event: 40, eventId: 1, earliest veto hit time: 0.58 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/71/sndLHC.Genie-TGeant4_dig.root, runId: 1752483046, local_event: 7, eventId: 1, earliest veto hit time: 0.86 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/72/sndLHC.Genie-TGeant4_dig.root, runId: 1752483053, local_event: 41, eventId: 1, earliest veto hit time: 0.34 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/73/sndLHC.Genie-TGeant4_dig.root, runId: 1752483048, local_event: 10, eventId: 1, earliest veto hit time: 0.86 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/74/sndLHC.Genie-TGeant4_dig.root, runId: 1752483041, local_event: 11, eventId: 1, earliest veto hit time: 0.89 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/74/sndLHC.Genie-TGeant4_dig.root, runId: 1752483041, local_event: 36, eventId: 1, earliest veto hit time: 0.98 [ns]
file: root://eospublic.cern.ch//eos/experiment/sndlhc/MonteCarlo/Neutrinos/Genie/2024/nu12/volume_volTarget/75/sndLHC.Genie-TGeant4_dig.root, runId: 1752483045, local_event: 26, eventId: 1, earliest veto hit time: 0.71 [ns]
